index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
2211,Canso Seaside Manor,nursing home,Nursing and residential care facilities,Province of Nova Scotia,1748,union street,B0H 1H0,Canso,NS,,Guysborough,1213004.0,12.0,45.33262821,-60.98400465,3
2219,Cape Breton Regional Hospital,general,Hospitals,Public Health Agency of Canada,1482,george st,B1P 1P3,Sydney,NS,1482 george st. sydney ns b1p 1p3,Cape Breton,1217030.0,12.0,46.113409,-60.174263,3
2220,Carefield Manor Ltd,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,1,dryden ave,B1S 1V3,Sydney,NS,,Cape Breton,1217030.0,12.0,46.1708223,-60.1673939,3
2221,Cedarstone Enhanced Care Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,378,young st,B2N 7H2,Truro,NS,,Truro,1210006.0,12.0,45.35048296,-63.27590922,3
2222,Celtic Court,nursing home,Nursing and residential care facilities,Province of Nova Scotia,16,st anthony drive,B1S 2R5,Sydney,NS,,Cape Breton,1217030.0,12.0,46.12197357,-60.19465838,3
2223,Centennial Villa,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,258,church st,B4H 3C9,Amherst,NS,,Amherst,1211011.0,12.0,45.82402994,-64.18990713,3
2225,Clarmar Residential Care Facility,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,200,main street,B2X 1S3,Dartmouth,NS,,Halifax,1209034.0,12.0,44.68353015,-63.53262551,3
2226,Cobequid Community Health Centre,community health centre,Hospitals,Province of Nova Scotia,40,freer lane,B2X 1S3,Sackville,NS,,Halifax,1209034.0,12.0,44.757207,-63.65899399999999,3
2227,Colchester East Hants Health Centre,regional,Ambulatory health care services,Province of Nova Scotia,600,abenaki road,B2X 1S3,Truro,NS,,Truro,1210006.0,12.0,45.349105,-63.303475,3
2228,Colchester Regional Hospital,general,Hospitals,Public Health Agency of Canada,207,willow st,B2N 5A1,Truro,NS,207 willow st. truro ns b2n 5a1,Truro,1210006.0,12.0,45.3570969,-63.292881900000005,3
223,Raymond Health Centre,general,Hospitals,Public Health Agency of Canada,150,n 4 st e,T0K 2S0,Raymond,AB,150 n. - 4th st. e. raymond ab t0k 2s0,Raymond,4802008.0,48.0,49.4647002,-112.650584,4
2230,Dartmouth General Hospital,general,Hospitals,Public Health Agency of Canada,325,pleasant st,B2Y 4G8,Dartmouth,NS,325 pleasant st. dartmouth ns b2y 4g8,Halifax,1209034.0,12.0,44.6539875,-63.5476214,3
2232,Digby General Hospital,general,Hospitals,Public Health Agency of Canada,75,warwick st,B0V 1A0,Digby,NS,75 warwick st. digby ns b0v 1a0,Digby,1203006.0,12.0,44.616534,-65.761667,3
