index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
10,Alberta Children's Hospital,pediatric,Hospitals,Public Health Agency of Canada,28,oki dr nw,T3B 6A8,Calgary,AB,28 Oki Dr NW,Calgary,4806016.0,48.0,51.074582,-114.148426,4
100,Devon General Hospital,general,Hospitals,Public Health Agency of Canada,101,erie st s,T9G 1A6,Devon,AB,101 erie st. s. devon ab t9g 1a6,Devon,4811018.0,48.0,53.351493000000005,-113.730785,4
1000,Kimbelee Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,12935,96 ave,V3V 7K6,Surrey,BC,12935 96th ave surrey bc v3v 7k6,Surrey,5915004.0,59.0,49.177418,-122.864118,1
1001,Kimberley Special Care Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,386,2 ave,V1A 2Z6,Kimberley,BC,386 2 ave kimberley bc v1a 2z6,Kimberley,5901028.0,59.0,49.6899979,-115.9896466,1
1002,Kinetic Energy Health and Wellness Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,207-450,lansdowne street,V2C 1Y4,Kamloops,BC,207-450 lansdowne street kamloops bc v2c 1y4,Kamloops,5933042.0,59.0,50.67706,-120.3295,1
1003,King Edward House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,820,e king edward ave,V5V 2E4,Vancouver,BC,820 e king edward ave vancouver bc v5v 2e4,Vancouver,5915022.0,59.0,49.2483529,-123.0870448,1
1004,Kingfisher Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,4328,crystal drive,V1T 8V5,Vernon,BC,4328 crystal drive vernon bc v1t 8v5,Vernon,5937014.0,59.0,50.2761527,-119.2445371,1
1005,Kinghaven Treatment Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,31250,king rd,V2T 6C2,Abbotsford,BC,31250 king rd abbotsford bc v2t 6c2,Abbotsford,5909052.0,59.0,49.0307485,-122.358792,1
1006,Kings House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,8512,164 st,V4N 1E5,Surrey,BC,8512 164th st surrey bc v4n 1e5,Surrey,5915004.0,59.0,49.157599,-122.767254,1
1007,Kinsmen Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,9650,137a st,V3T 4H9,Surrey,BC,9650 137a st surrey bc v3t 4h9,Surrey,5915004.0,59.0,49.1777346,-122.8417995,1
1009,Kinvillage,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5410,10 ave,V4M 3X8,Delta,BC,5410 10th ave delta bc v4m 3x8,Delta,5915011.0,59.0,49.0214852,-123.073648,1
101,Didsbury District Health Services,general,Hospitals,Public Health Agency of Canada,1210,20 ave,T0M 0W0,Didsbury,AB,1210 - 20th ave. didsbury ab t0m 0w0,Didsbury,4806032.0,48.0,51.661795,-114.123674,4
1012,Kitimat Hospital & Health Centre,general,Hospitals,Public Health Agency of Canada,920,lahakas blvd s,V8C 2S3,Kitimat,BC,920 lahakas blvd. s. kitimat bc v8c 2s3,Kitimat,5949005.0,59.0,54.0504835,-128.6472372,1
1013,Kiwanis Care Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,35,clute st,V3L 1Z5,New Westminster,BC,35 clute st new westminster bc v3l 1z5,New Westminster,5915029.0,59.0,49.2232118,-122.9150878,1
1017,Kiwanis Village Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1221,kiwanis cres,V9S 5Y1,Nanaimo,BC,1221 kiwanis cres nanaimo bc v9s 5y1,Nanaimo,5921007.0,59.0,49.186109,-123.96893,1
1018,Knutsford Group Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3161,merritt princeton highway 5a,V0E 2A0,Knutsford,BC,3161 merritt princeton highway 5a knutsford bc v0e 2a0,Thompson-Nicola L (Grasslands),5933060.0,59.0,50.603467,-120.3104439,1
1019,Kootenay Boundary Regional Hospital,general,Hospitals,Public Health Agency of Canada,1200,hospital bench,V1R 4M1,Trail,BC,1200 hospital bench trail bc v1r 4m1,Trail,5905014.0,59.0,49.103275,-117.701449,1
1021,Kootenay Columbia House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,114,10 ave,V1N 1Y4,Castlegar,BC,114 10 ave castlegar bc v1n 1y4,Castlegar,5903045.0,59.0,49.3279645,-117.6630835,1
1022,Kootenay Lake Hospital,general,Hospitals,Public Health Agency of Canada,3,view st,V1L 2V1,Nelson,BC,3 view st. nelson bc v1l 2v1,Nelson,5903015.0,59.0,49.4950249,-117.2848169,1
1023,Kootenay Lake Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,1140,lakeside drive,V1L 5Z3,Nelson,BC,1140 lakeside drive nelson bc v1l 5z3,Nelson,5903015.0,59.0,49.49869,-117.2889,1
1024,Kootenay Street Village,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,620,kootenay st n,V1C 3T9,Cranbrook,BC,620 kootenay st n cranbrook bc v1c 3t9,Cranbrook,5901022.0,59.0,49.5183259,-115.758538,1
1025,Kopernik Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3150,rosemont dr,V5S 2C9,Vancouver,BC,3150 rosemont dr vancouver bc v5s 2c9,Vancouver,5915022.0,59.0,49.21522,-123.039,1
1026,Kwantlen Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,12818,72 avenue,V3W 2M9,Surrey,BC,12818 72nd avenue surrey bc v3w 2m9,Surrey,5915004.0,59.0,49.13365,-122.867417,1
1027,LA ROSA DE MATSQUI,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,28711,huntingdon rd,V4X 1A8,Abbotsford,BC,28711 huntingdon rd abbotsford bc v4x 1a8,Abbotsford,5909052.0,59.0,49.017373,-122.428874,1
1028,Ladner 1,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5281,westminster ave,V4K 2J4,Delta,BC,5281 westminster ave delta bc v4k 2j4,Delta,5915011.0,59.0,49.099275,-123.0760699,1
1029,Lady Minto Gulf Islands Hospital,general,Hospitals,Public Health Agency of Canada,135,crofton rd,V8K 1T1,Salt Spring Island,BC,135 crofton rd. salt spring island bc v8k 1t1,Saltspring Island,5917027.0,59.0,48.861445200000006,-123.5085986,1
1030,Ladysmith Community Health Centre,general,Hospitals,Public Health Agency of Canada,1111,4 ave,V9G 1A1,Ladysmith,BC,1111 4th ave. ladysmith bc v9g 1a1,Ladysmith,5919021.0,59.0,48.9957415,-123.8276344,1
1031,Lake Country Family Practice,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,9966,pollard road,V4V 1V7,Lake Country,BC,9966 pollard road lake country bc v4v 1v7,Lake Country,5935016.0,59.0,50.025931,-119.405559,1
1032,Lake Country Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,10163,konschuh road,V4V 2M2,Lake Country,BC,10163 konschuh road lake country bc v4v 2m2,Lake Country,5935016.0,59.0,50.0291435,-119.3984578,1
1034,Lakes District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,741,centre st,V0J 1E0,Burns Lake,BC,741 centre st. burns lake bc v0j 1e0,Burns Lake,5951022.0,59.0,54.23562679999999,-125.76126229999998,1
1035,Lakes Road Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,6284,lakes rd,V9L 4S6,Duncan,BC,6284 lakes rd duncan bc v9l 4s6,North Cowichan,5919008.0,59.0,48.798968,-123.69182,1
1036,Lakeshore Medical Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,2280,baron road,V1X 7W3,Kelowna,BC,2280 baron road kelowna bc v1x 7w3,Kelowna,5935010.0,59.0,49.881024,-119.431768,1
1037,Lakeside House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3597,gladstone st,V5N 4Y8,Vancouver,BC,3597 gladstone st vancouver bc v5n 4y8,Vancouver,5915022.0,59.0,49.250461,-123.0604877,1
1038,Lakeview Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2337,butt road,V4T 3L3,West Kelowna,BC,2337 butt road west kelowna bc v4t 3l3,Tsinstikeptum  9,5935802.0,59.0,49.83701729999999,-119.6237769,1
1039,Lamton Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,650,middleton way,V1B 2V5,Coldstream,BC,650 middleton way coldstream bc v1b 2v5,Coldstream,5937010.0,59.0,50.2318418,-119.2547159,1
1040,Lands End Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1995,lands end rd,V8L 5J2,North Saanich,BC,1995 lands end rd north saanich bc v8l 5j2,North Saanich,5917005.0,59.0,48.68585,-123.41694,1
1041,Langley Gardens,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,8888,202 st,V1M 4A7,Langley,BC,8888 202nd st langley bc v1m 4a7,Langley,5915001.0,59.0,49.1663494,-122.6609691,1
1042,Langley Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5451,204 st,V3A 5M9,Langley,BC,5451 204th st langley bc v3a 5m9,Langley,5915002.0,59.0,49.10156729999999,-122.6573035,1
1043,Langley Memorial Hospital,extended care,Hospitals,Public Health Agency of Canada,22051,fraser hwy,V3A 4H4,Langley,BC,22051 fraser hwy. langley bc v3a 4h4,Langley,5915001.0,59.0,49.0952999,-122.612079,1
1045,Langton Road,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,7611,langton rd,V7C 4B4,Richmond,BC,7611 langton rd richmond bc v7c 4b4,Richmond,5915015.0,59.0,49.1570209,-123.1606944,1
1046,Lannan Road Residence,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2046,lannan rd,V9M 3Z6,Comox,BC,2046 lannan rd comox bc v9m 3z6,Comox Valley B (Lazo North),5926022.0,59.0,49.7086633,-124.9362404,1
1047,Lansdowne Treatment Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,120-1641,hillside avenue,V8T 5G1,Victoria,BC,120-1641 hillside avenue victoria bc v8t 5g1,Victoria,5917034.0,59.0,48.445104,-123.334011,1
1048,Larkin House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2583,larkin ave,V3B 2H8,Port Coquitlam,BC,2583 larkin ave port coquitlam bc v3b 2h8,Port Coquitlam,5915039.0,59.0,49.277786,-122.7851203,1
1049,Larkspur House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1310,larkspur ave,V3B 1G7,Port Coquitlam,BC,1310 larkspur ave port coquitlam bc v3b 1g7,Port Coquitlam,5915039.0,59.0,49.2660077,-122.7510197,1
1050,Last Door Recovery Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,323,8 st,V3M 3R3,New Westminster,BC,323 8th st new westminster bc v3m 3r3,New Westminster,5915029.0,59.0,49.2078235,-122.9191564,1
1052,Laurel Place Care Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,9688,137a st,V3T 4H9,Surrey,BC,9688 137a st surrey bc v3t 4h9,Surrey,5915004.0,59.0,49.1784188,-122.8417804,1
1054,Leaside Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1807,e 64 ave,V5P 2M9,Vancouver,BC,1807 e 64th ave vancouver bc v5p 2m9,Vancouver,5915022.0,59.0,49.2121813,-123.068935,1
1055,Leonard Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,4761,leonard pl,V2M 6Z5,Prince George,BC,4761 leonard pl prince george bc v2m 6z5,Prince George,5953023.0,59.0,53.938608,-122.81031000000002,1
1056,Lillooet District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,951,murray st,V0K 1V0,Lillooet,BC,951 murray st. lillooet bc v0k 1v0,Lillooet,5931026.0,59.0,50.690014,-121.9387906,1
1058,Lindsay Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,754,lindsay st,V8Z 3E1,Victoria,BC,754 lindsay st victoria bc v8z 3e1,Saanich,5917021.0,59.0,48.4911471,-123.3952548,1
1059,Lions Gate Hospital,general,Hospitals,Public Health Agency of Canada,231,east 15 st,V7L 2L7,North Vancouver,BC,231 east 15th st. north vancouver bc v7l 2l7,North Vancouver,5915051.0,59.0,49.32186420000001,-123.06837009999998,1
106,Drayton Valley Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,4550,madsen ave,T7A 1N8,Drayton Valley,AB,4550 madsen ave. drayton valley ab t7a 1n8,Drayton Valley,4811031.0,48.0,53.211841,-114.969193,4
1060,Lisgar Residence,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2471,lisgar cres,V2N 1C4,Prince George,BC,2471 lisgar cres prince george bc v2n 1c4,Prince George,5953023.0,59.0,53.897987,-122.79234,1
1062,Little Mountain Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,330,e 36 ave,V5W 3Z4,Vancouver,BC,330 e 36th ave vancouver bc v5w 3z4,Vancouver,5915022.0,59.0,49.2376636,-123.0998532,1
1065,Live Well Medical Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,160-8980,no 3 road,V6Y 2E8,Richmond,BC,160-8980 no. 3 road richmond bc v6y 2e8,Richmond,5915015.0,59.0,49.148846,-123.136661,1
1066,Lonsdale Medical Clinics,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,108-1940,lonsdale avenue n,V7M 2K2,Vancouver,BC,108-1940 lonsdale avenue north vancouver bc v7m 2k2,North Vancouver,5915051.0,59.0,49.327193,-123.071945,1
1067,Loraine Avenue,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3908,loraine ave,V7R 4B8,North Vancouver,BC,3908 loraine ave north vancouver bc v7r 4b8,North Vancouver,5915046.0,59.0,49.34458729999999,-123.1065884,1
1068,Louis Brier Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1055,w 41 ave,V6M 1W9,Vancouver,BC,1055 w 41st ave vancouver bc v6m 1w9,Vancouver,5915022.0,59.0,49.23448,-123.129,1
1071,Loyal Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,112-1055,west georgia street,V6E 3P1,Vancouver,BC,112-1055 west georgia street vancouver bc v6e 3p1,Vancouver,5915022.0,59.0,49.285409,-123.12195,1
1072,Lucas Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,909,lucas ave,V8X 4M7,Victoria,BC,909 lucas ave victoria bc v8x 4m7,Saanich,5917021.0,59.0,48.477997,-123.373936,1
1073,Luther Court,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1525,cedar hill x rd,V8P 5M1,Victoria,BC,1525 cedar hill x rd victoria bc v8p 5m1,Saanich,5917021.0,59.0,48.4619202,-123.3364271,1
1074,Luxton Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3522,luxton rd,V9C 0K6,Victoria,BC,3522 luxton rd victoria bc v9c 0k6,Langford,5917044.0,59.0,48.419041,-123.5341518,1
1075,Lynn Valley Care Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1070,lynn valley road,V7J 1Z8,North Vancouver,BC,1070 lynn valley road north vancouver bc v7j 1z8,North Vancouver,5915046.0,59.0,49.33396,-123.045,1
1076,Lynn Valley House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1525/1527,lynn valley road,V7J 2B1,North Vancouver,BC,1525/1527 lynn valley road north vancouver bc v7j 2b1,North Vancouver,5915046.0,59.0,49.340396000000005,-123.0310686,1
1078,Lynn Valley Medical and Travel Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,102-1200,lynn valley road,V7J 2A2,North Vancouver,BC,102-1200 lynn valley road north vancouver bc v7j 2a2,North Vancouver,5915046.0,59.0,49.33592,-123.0412,1
1079,Lynndale Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,4820,10 ave sw,V1E 3B5,Salmon Arm,BC,4820 10 ave sw salmon arm bc v1e 3b5,Salmon Arm,5939032.0,59.0,50.6919774,-119.340954,1
108,Drumheller Health Centre,general,Hospitals,Public Health Agency of Canada,351,9 st nw,T0J 0Y1,Drumheller,AB,351 - 9th st. n.w. drumheller ab t0j 0y1,Drumheller,4805026.0,48.0,51.4698073,-112.7259344,4
1080,m.s.a. Manor,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2510,gladwin rd,V2T 3N9,Abbotsford,BC,2510 gladwin rd abbotsford bc v2t 3n9,Abbotsford,5909052.0,59.0,49.0475442,-122.3144389,1
1081,Mackenzie and District Hospital and Health Centre,general,Hospitals,Public Health Agency of Canada,45,centennial dr,V0J 2C0,Mackenzie,BC,45 centennial dr. mackenzie bc v0j 2c0,Mackenzie,5953033.0,59.0,55.3375782,-123.100648,1
1082,Maginnis Avenue,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3660,maginnis avenue n,V7K 2L6,Vancouver,BC,3660 maginnis avenue north vancouver bc v7k 2l6,North Vancouver,5915046.0,59.0,49.342687100000006,-123.034142,1
1083,Magnolia Gardens,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5840,glover rd,V3A 9K3,Langley,BC,5840 glover rd langley bc v3a 9k3,Langley,5915002.0,59.0,49.10824470000001,-122.6494693,1
1084,Magnolia House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,720,e 17 st,V7L 2W8,North Vancouver,BC,720 e 17th st north vancouver bc v7l 2w8,North Vancouver,5915051.0,59.0,49.3242484,-123.0538386,1
1085,Main Street Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5760,main street,V0H 1T0,Oliver,BC,5760 main street oliver bc v0h 1t0,Oliver,5907014.0,59.0,49.173073,-119.5552406,1
1086,Mainwaring,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,8950,mainwaring rd,V8L 1J7,North Saanich,BC,8950 mainwaring rd north saanich bc v8l 1j7,North Saanich,5917005.0,59.0,48.6249709,-123.4154788,1
1087,Malaspina Residence,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2028,cedar cres,V9N 3B6,Courtenay,BC,2028 cedar cres courtenay bc v9n 3b6,Courtenay,5926010.0,59.0,49.678687700000005,-124.9927014,1
1088,Manchenda Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,7550,king george boulevard,V3W 2T2,Surrey,BC,7550 king george boulevard surrey bc v3w 2t2,Surrey,5915004.0,59.0,49.13988,-122.8432,1
1089,Mango Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,4392,beresford street,V5H 0E7,Burnaby,BC,4392 beresford street burnaby bc v5h 0e7,Burnaby,5915025.0,59.0,49.226057,-123.005725,1
1090,Manning House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1560,manning ave,V3B 1K5,Port Coquitlam,BC,1560 manning ave port coquitlam bc v3b 1k5,Port Coquitlam,5915039.0,59.0,49.2680766,-122.7578008,1
1091,Manoah Manor,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,20265,54a ave,V3A 3W6,Langley City,BC,20265 54a ave langley city bc v3a 3w6,Langley,5915002.0,59.0,49.101831,-122.6608587,1
1092,Manuel House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1709,232 st,V2Z 1K7,Langley,BC,1709 232nd st langley bc v2z 1k7,Langley,5915001.0,59.0,49.032664,-122.58322,1
1093,Maple Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,103-2025,west broadway,V6J 1Z6,Vancouver,BC,103-2025 west broadway vancouver bc v6j 1z6,Vancouver,5915022.0,59.0,49.263854,-123.151159,1
1094,Maple Ridge House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,12210,232a st,V2X 0R2,Maple Ridge,BC,12210 232a st maple ridge bc v2x 0r2,Maple Ridge,5915075.0,59.0,49.2245369,-122.57835520000002,1
1095,Maple Ridge Seniors Village,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,22141,119 ave,V2X 2Y7,Maple Ridge,BC,22141 119th ave maple ridge bc v2x 2y7,Maple Ridge,5915075.0,59.0,49.2193789,-122.6084592,1
1096,Maple Ridge Treatment Centre,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,22269,callaghan ave,V2X 2E2,Maple Ridge,BC,22269 callaghan ave maple ridge bc v2x 2e2,Maple Ridge,5915075.0,59.0,49.2137785,-122.6051618,1
1097,Maple Street Residence,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5537,maple st,V9Y 8H4,Port Alberni,BC,5537 maple st port alberni bc v9y 8h4,Alberni-Clayoquot E,5923037.0,59.0,49.2711362,-124.8084067,1
1098,Maplewood House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1919,jackson st,V2S 2Z8,Abbotsford,BC,1919 jackson st abbotsford bc v2s 2z8,Abbotsford,5909052.0,59.0,49.036607200000006,-122.3091484,1
1101,Marchmont House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,739,marchmont rd,V9L 2L9,Duncan,BC,739 marchmont rd duncan bc v9l 2l9,Duncan,5919012.0,59.0,48.7770977,-123.6935153,1
1102,Marchmont Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,6124,ryall rd,V9L 2H7,Duncan,BC,6124 ryall rd duncan bc v9l 2h7,North Cowichan,5919008.0,59.0,48.793073,-123.72443,1
1103,Marin Park,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1166,marin park dr,V8M 1E8,Brentwood Bay,BC,1166 marin park dr brentwood bay bc v8m 1e8,Central Saanich,5917015.0,59.0,48.5714564,-123.45134070000002,1
1104,Marine Gateway Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,301-470,sw marine drive,V5X 0C4,Vancouver,BC,301-470 sw marine drive vancouver bc v5x 0c4,Vancouver,5915022.0,59.0,49.210379,-123.11683,1
1105,Mariposa,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,4133,mariposa heights,V8Z 6P5,Victoria,BC,4133 mariposa heights victoria bc v8z 6p5,Saanich,5917021.0,59.0,48.478199,-123.41418,1
1106,Mariposa Court,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,3419,mariposa court,V1X 2S9,Kelowna,BC,3419 mariposa court kelowna bc v1x 2s9,Kelowna,5935010.0,59.0,49.8590963,-119.4391121,1
1107,Mariposa Gardens,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,8816,97 st,V0H 1V5,Osoyoos,BC,8816 97 st osoyoos bc v0h 1v5,Osoyoos,5907005.0,59.0,49.034727,-119.47705829999998,1
1108,Marjorie Willoughby Snowden Memorial Hospice Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,72,whiteshield crescent s,V2E 2S9,Kamloops,BC,72 whiteshield crescent s kamloops bc v2e 2s9,Kamloops,5933042.0,59.0,50.6588194,-120.3374527,1
1109,Mary Basil House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2001,industrial rd,V1C 6H3,Cranbrook,BC,2001 industrial rd cranbrook bc v1c 6h3,Cranbrook,5901022.0,59.0,49.5249786,-115.7686075,1
111,Edson Healthcare Centre,general,Hospitals,Public Health Agency of Canada,4716,5 ave,T7E 1S8,Edson,AB,4716 - 5th ave. edson ab t7e 1s8,Edson,4814024.0,48.0,53.59182,-116.407,1
1110,Maryland House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,9496,maryland dr,V8L 2R6,Sidney,BC,9496 maryland dr sidney bc v8l 2r6,Sidney,5917010.0,59.0,48.6401829,-123.4063757,1
1111,Masset Hospital,general,Hospitals,Public Health Agency of Canada,1760,hodges,V0T 1M0,Masset,BC,1760 hodges masset bc v0t 1m0,Masset,5947023.0,59.0,54.0204495,-132.157076,1
1113,Matters of Health Medical Clinic,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,5591,west boulevard,V6M 3W6,Vancouver,BC,5591 west boulevard vancouver bc v6m 3w6,Vancouver,5915022.0,59.0,49.235586,-123.155556,1
1114,Maxey Road Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2278,maxey rd,V9S 5V5,Nanaimo,BC,2278 maxey rd nanaimo bc v9s 5v5,Nanaimo C,5921016.0,59.0,49.185127,-124.00326,1
1115,May's Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,333,powell st,V6A 1G5,Vancouver,BC,333 powell st vancouver bc v6a 1g5,Vancouver,5915022.0,59.0,49.28324,-123.097,1
1116,Mayfair (the),Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,33433,marshall rd,V2S 1K8,Abbotsford,BC,33433 marshall rd abbotsford bc v2s 1k8,Abbotsford,5909052.0,59.0,49.039494,-122.2976893,1
1117,Mcarthur Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,794-796,mcarthur drive,V2B 8L9,Kamloops,BC,794-796 mcarthur drive kamloops bc v2b 8l9,Kamloops,5933042.0,59.0,50.7625069,-120.3482057,1
1118,Mcbride and District Hospital,general,Hospitals,Public Health Agency of Canada,594,king st,V0J 2E0,Mcbride,BC,594 king st. mcbride bc v0j 2e0,McBride,5953012.0,59.0,53.30163979999999,-120.1608281,1
1119,Mcbride Place,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,878,mcbride street,V2B 5S3,Kamloops,BC,878 mcbride street kamloops bc v2b 5s3,Kamloops,5933042.0,59.0,50.70294570000001,-120.4107315,1
112,Elk Point Healthcare Centre,general,Hospitals,Public Health Agency of Canada,5310,50 ave,T0A 1A0,Elk Point,AB,5310 - 50 ave. elk point ab t0a 1a0,Elk Point,4812016.0,48.0,53.8969745,-110.9058049,4
1120,Mccauley Lodge,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1037,lyall st,V9A 5G1,Victoria,BC,1037 lyall st victoria bc v9a 5g1,Esquimalt,5917040.0,59.0,48.426921,-123.4064,1
1121,Mcculloch Residence,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,5500,mcculloch rd,V1W 4G1,Kelowna,BC,5500 mcculloch rd kelowna bc v1w 4g1,Kelowna,5935010.0,59.0,49.83961179999999,-119.3486466,1
1122,Mckenzie Home,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,1112,mckenzie st,V8V 2W2,Victoria,BC,1112 mckenzie st victoria bc v8v 2w2,Victoria,5917034.0,59.0,48.4151589,-123.3554095,1
1123,Mckim Cottage,psychiatric,Nursing and residential care facilities,Public Health Agency of Canada,916,eleventh st,V1L 7A6,Nelson,BC,916 eleventh st. nelson bc v1l 7a6,Nelson,5903015.0,59.0,49.508589,-117.267255,1
1125,Mcqueen House,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,2831,muir rd,V9N 6A2,Courtenay,BC,2831 muir rd courtenay bc v9n 6a2,Courtenay,5926010.0,59.0,49.7107401,-124.9852203,1
1126,Md Medical Centre,Ambulatory health care services,Ambulatory health care services,Province of British Columbia,3020,louie drive,V4T 3E1,West Kelowna,BC,3020 louie drive west kelowna bc v4t 3e1,Tsinstikeptum  9,5935802.0,59.0,49.83547,-119.6209,1
1127,Meadowbrook,Nursing and residential care facilities,Nursing and residential care facilities,Province of British Columbia,12412,meadowbrook pl,V4R 2H6,Maple Ridge,BC,12412 meadowbrook pl maple ridge bc v4r 2h6,Maple Ridge,5915075.0,59.0,49.2279307,-122.635215,1
